"UniqueCarrier","N_anul_lotow","Description"
"9E",4097,"Pinnacle Airlines Inc."
"AA",10784,"American Airlines Inc."
"AQ",42,"Aloha Airlines Inc."
"AS",804,"Alaska Airlines Inc."
"B6",902,"JetBlue Airways"
"CO",1084,"Continental Air Lines Inc."
"DL",3051,"Delta Air Lines Inc."
"EV",2346,"Atlantic Southeast Airlines"
"F9",98,"Frontier Airlines Inc."
"FL",903,"AirTran Airways Corporation"
"HA",112,"Hawaiian Airlines Inc."
"MQ",8960,"American Eagle Airlines Inc."
"NW",1407,"Northwest Airlines Inc."
"OH",2618,"Comair Inc."
"OO",6773,"Skywest Airlines Inc."
"UA",4616,"United Air Lines Inc."
"US",2390,"US Airways Inc."
"WN",4380,"Southwest Airlines Co."
"XE",3925,"Expressjet Airlines Inc."
"YV",5150,"Mesa Airlines Inc."
